date,prevclose,open,high,low,close,volume,amount,postVol,postAmt
2021-09-23,,1.023,1.033,1.021,1.026,32612300,33498812,,
2021-09-24,,1.024,1.026,1.012,1.014,24083200,24543213,,
2021-09-27,,1.014,1.021,1.004,1.013,35000900,35385113,,
2021-09-28,,1.012,1.02,1.008,1.019,30870300,31293684,,
2021-09-29,,1.012,1.012,0.996,1.005,96100800,96432847,,
2021-09-30,,1.005,1.007,0.999,1.005,44539200,44671587,,
2021-10-08,,1.015,1.019,1.007,1.016,57231300,58086615,,
2021-10-11,,1.016,1.022,1.015,1.019,40238600,41028133,,
2021-10-12,,1.018,1.018,1.0,1.012,64897200,65409684,,
2021-10-13,,1.011,1.013,0.999,1.012,56028200,56353498,,
2021-10-14,,1.007,1.01,1.003,1.006,27662600,27829883,,
2021-10-15,,1.005,1.011,1.001,1.01,39386600,39694619,,
2021-10-18,,1.01,1.01,1.001,1.007,28884100,28996891,,
2021-10-19,,1.005,1.013,1.003,1.01,35622700,35975293,,
2021-10-20,,1.01,1.011,1.006,1.009,19319500,19475214,,
2021-10-21,,1.009,1.019,1.008,1.014,40907900,41451358,,
2021-10-22,,1.012,1.019,1.01,1.013,20766600,21054969,,
2021-10-25,,1.01,1.02,1.007,1.02,30267500,30704707,,
2021-10-26,,1.02,1.023,1.014,1.017,23230700,23657117,,
2021-10-27,,1.015,1.016,1.002,1.003,45039800,45321678,,
2021-10-28,,1.003,1.003,0.988,0.993,83982900,83459274,,
2021-10-29,,0.993,0.996,0.987,0.995,66590600,65983170,,
2021-11-01,,0.989,0.998,0.985,0.994,54463400,54086664,,
2021-11-02,,0.994,0.997,0.975,0.982,71456300,70368907,,
2021-11-03,,0.981,0.983,0.976,0.98,36854400,36085912,,
2021-11-04,,0.982,0.987,0.979,0.986,47489700,46692877,,
2021-11-05,,0.983,0.986,0.977,0.977,43825200,43003817,,
2021-11-08,,0.976,0.979,0.973,0.977,23440100,22887911,,
2021-11-09,,0.977,0.982,0.974,0.98,23817900,23303665,,
2021-11-10,,0.979,0.98,0.964,0.978,67793300,65818384,,
2021-11-11,,0.975,0.987,0.972,0.986,61760500,60597989,,
2021-11-12,,0.986,0.99,0.984,0.988,34406200,33963475,,
2021-11-15,,0.99,0.993,0.984,0.989,23335500,23068235,,
2021-11-16,,0.989,0.991,0.98,0.982,27999300,27581182,,
2021-11-17,,0.982,0.985,0.98,0.983,17173300,16877948,,
2021-11-18,,0.981,0.985,0.978,0.982,22116800,21697317,,
2021-11-19,,0.98,0.993,0.979,0.993,36654500,36225530,,
