date,open,high,low,close,volume,amount,postVol,postAmt
2021-09-23,1.74,1.798,1.724,1.735,1091000,1904933,,
2021-09-24,1.735,1.735,1.672,1.672,629900,1063047,,
2021-09-27,1.676,1.688,1.623,1.637,1254400,2057487,,
2021-09-28,1.648,1.682,1.646,1.68,2408400,3999954,,
2021-09-29,1.68,1.681,1.633,1.636,1350300,2220916,,
2021-09-30,1.635,1.658,1.624,1.658,216800,355570,,
2021-10-08,1.673,1.673,1.634,1.642,322600,530412,,
2021-10-11,1.643,1.663,1.642,1.658,641000,1060684,,
2021-10-12,1.658,1.677,1.624,1.647,1349500,2218623,,
2021-10-13,1.647,1.647,1.597,1.618,1149100,1859696,,
2021-10-14,1.618,1.618,1.593,1.605,1434300,2311101,,
2021-10-15,1.604,1.617,1.592,1.614,2322900,3716542,,
2021-10-18,1.614,1.645,1.609,1.645,1830900,2985912,,
2021-10-19,1.645,1.675,1.632,1.645,1367200,2256083,,
2021-10-20,1.645,1.645,1.605,1.613,8298400,13382266,,
2021-10-21,1.612,1.65,1.612,1.639,3280100,5345840,,
2021-10-25,0.87,0.87,0.791,0.801,4935000,3943513,,
2021-10-26,0.801,0.804,0.794,0.796,7219900,5771270,,
2021-10-27,0.795,0.795,0.778,0.782,2019000,1585994,,
2021-10-28,0.78,0.787,0.757,0.759,3198000,2432315,,
2021-10-29,0.76,0.76,0.749,0.755,9432600,7116885,,
2021-11-01,0.756,0.766,0.753,0.762,20876700,15814926,,
2021-11-02,0.762,0.763,0.737,0.744,7017000,5265975,,
2021-11-03,0.744,0.761,0.744,0.76,2825700,2136852,,
2021-11-04,0.76,0.76,0.751,0.757,2642500,1989572,,
2021-11-05,0.761,0.761,0.741,0.742,1448300,1076700,,
2021-11-08,0.743,0.748,0.74,0.743,1130600,842212,,
2021-11-09,0.742,0.743,0.739,0.742,294300,217778,,
2021-11-10,0.737,0.74,0.726,0.74,1002700,731616,,
2021-11-11,0.745,0.756,0.743,0.755,3981200,2993975,,
2021-11-12,0.755,0.755,0.748,0.751,7228500,5431080,,
2021-11-15,0.756,0.756,0.745,0.749,295700,221249,,
2021-11-16,0.748,0.75,0.744,0.744,1286800,960771,,
2021-11-17,0.744,0.744,0.74,0.743,794500,588787,,
2021-11-18,0.748,0.748,0.74,0.741,967700,718342,,
2021-11-19,0.739,0.753,0.737,0.752,1648000,1231213,,
2021-11-22,0.752,0.755,0.75,0.752,663700,499289,,
2021-11-23,0.752,0.761,0.751,0.759,1171100,887784,,
2021-11-24,0.759,0.769,0.757,0.769,2683500,2053277,,
2021-11-25,0.769,0.776,0.764,0.767,3183600,2439185,,
2021-11-26,0.767,0.767,0.756,0.756,436000,330071,,
2021-11-29,0.752,0.775,0.744,0.749,1645500,1230170,,
2021-11-30,0.751,0.755,0.747,0.748,3176500,2383155,,
2021-12-01,0.749,0.76,0.749,0.758,4483800,3393918,,
2021-12-02,0.76,0.765,0.756,0.763,3384200,2572443,,
2021-12-03,0.763,0.779,0.757,0.776,3985700,3076290,,
2021-12-06,0.775,0.784,0.772,0.773,1768500,1376789,,
2021-12-07,0.773,0.785,0.771,0.784,1732700,1352948,,
2021-12-08,0.784,0.785,0.776,0.785,538100,420228,,
2021-12-09,0.783,0.79,0.782,0.787,1786400,1405412,,
2021-12-10,0.785,0.787,0.781,0.784,7863600,6163360,,
2021-12-13,0.784,0.786,0.778,0.779,4340300,3385210,,
2021-12-14,0.776,0.776,0.767,0.769,559100,430369,,
2021-12-15,0.769,0.778,0.767,0.776,4461500,3434406,,
2021-12-16,0.776,0.788,0.776,0.787,3578100,2802396,,
2021-12-17,0.788,0.791,0.786,0.788,3402700,2683367,,
2021-12-20,0.788,0.79,0.784,0.784,4130000,3251099,,
2021-12-21,0.786,0.799,0.786,0.798,4506600,3591981,,
2021-12-22,0.795,0.797,0.792,0.795,2092400,1662653,,
2021-12-23,0.795,0.8,0.793,0.799,3347300,2667205,,
2021-12-24,0.795,0.796,0.791,0.793,1874000,1488841,,
2021-12-27,0.796,0.799,0.795,0.797,154700,123302,,
2021-12-28,0.796,0.796,0.788,0.791,2826300,2235226,,
2021-12-29,0.786,0.791,0.786,0.788,5729000,4513963,,
2021-12-30,0.785,0.792,0.785,0.789,4002400,3162414,,
2021-12-31,0.792,0.796,0.792,0.795,7069300,5618188,,
2022-01-04,0.795,0.81,0.795,0.809,5666200,4554650,,
2022-01-05,0.809,0.814,0.806,0.812,5776600,4680417,,
2022-01-06,0.812,0.819,0.812,0.818,4752700,3874935,,
2022-01-07,0.82,0.83,0.82,0.825,4958800,4098879,,
2022-01-10,0.825,0.83,0.822,0.829,6907600,5700940,,
2022-01-11,0.832,0.839,0.828,0.832,5006400,4172809,,
2022-01-12,0.831,0.831,0.82,0.827,2731500,2256175,,
2022-01-13,0.826,0.839,0.823,0.835,8379900,6955922,,
2022-01-14,0.838,0.838,0.809,0.81,11869800,9640210,,
2022-01-17,0.81,0.815,0.795,0.813,4534500,3679809,,
