date,open,high,low,close,volume,amount
2026-08-28,11731.5811,11794.2773,11435.6973,11469.6621,0,0
2026-08-31,11529.1582,11587.2607,11444.2051,11535.0508,0,0
2026-09-01,11296.6309,11389.6221,11172.9004,11288.6123,0,0
2026-09-02,11243.5459,11388.9922,11154.667,11339.2539,0,0
2026-09-03,11219.4424,11371.3262,11056.3799,11352.1289,0,0
2026-09-04,11508.7031,11750.2549,11467.3428,11735.2627,0,0
2026-09-08,11987.2881,12023.8633,11843.2646,11887.8691,0,0
2026-09-09,11866.5029,12016.0918,11854.2158,11931.3213,0,0
2026-09-10,11662.999,11733.6826,11561.0342,11614.167,0,0
2026-09-11,11753.8652,11910.1982,11711.3271,11823.998,0,0
2026-09-14,11191.8184,11285.2979,11110.1104,11131.2812,0,0
2026-09-15,11233.0439,11304.2402,11128.8809,11175.5469,0,0
2026-09-16,11347.6777,11413.459,11132.2578,11246.1074,0,0
2026-09-17,11568.4658,11643.8838,11533.9512,11599.4922,0,0
2026-09-18,11691.0049,11922.9541,11686.0938,11921.6855,0,0
