date,open,high,low,close,volume,amount
2025-10-24,25307.748,25418.6367,25288.7109,25358.1621,1127401601,0
2025-10-27,25701.9473,25839.0312,25656.3789,25821.5449,1270059161,0
2025-10-28,25932.6426,26087.4844,25864.4902,26012.1562,1366257553,0
2025-10-29,26147.7207,26182.1035,25907.4473,26119.8457,1417023110,0
2025-10-30,25953.7793,26031.6836,25732.3867,25734.8125,1390211730,0
2025-10-31,26055.9688,26063.4863,25761.2793,25858.127,1229405512,0
2025-11-03,26114.1094,26132.8672,25887.8828,25972.9434,1235570490,0
2025-11-04,25580.3418,25762.2344,25415.623,25435.7031,1353948199,0
2025-11-05,25433.2246,25750.8848,25364.9023,25620.0312,1237245340,0
2025-11-06,25568.2383,25568.2383,25083.2363,25130.041,1215542091,0
2025-11-07,24977.7344,25065.1387,24603.7812,25059.8086,1241981093,0
2025-11-10,25418.1719,25655.5137,25354.4375,25611.7363,1218934892,0
2025-11-11,25500.9277,25588.2598,25380.8574,25533.4863,863946455,0
2025-11-12,25662.1855,25663.1699,25389.7266,25517.3281,930806208,0
2025-11-13,25386.9512,25396.0137,24908.5957,24993.4629,1117506206,0
2025-11-14,24658.5508,25198.9336,24534.9004,25008.2422,1115318604,0
2025-11-17,24890.1035,25166.1465,24649.3633,24799.918,1209452177,0
2025-11-18,24651.7773,24735.125,24299.2949,24503.0957,1337551186,0
2025-11-19,24517.2715,24904.6621,24432.1934,24640.5156,1265282246,0
2025-11-20,25131.4883,25222.9473,24021.4375,24054.3789,1415062581,0
2025-11-21,24137.6641,24521.8379,23854.0312,24239.5742,1455295377,0
2025-11-24,24462.8691,24923.5938,24455.6504,24873.8535,1121836842,0
2025-11-25,24790.0684,25069.543,24542.7148,25018.3594,1350395809,0
2025-11-26,25168.3066,25309.1484,25077.8613,25236.9395,1066237561,0
2025-11-28,25310.2852,25435.7734,25280.957,25434.8887,668412922,0
2025-12-01,25232.7539,25443.2051,25158.6328,25342.8496,1075802739,0
2025-12-02,25449.8691,25622.584,25369.3555,25555.8574,1233557829,0
2025-12-03,25443.7051,25639.9922,25388.4375,25606.5449,990312749,0
2025-12-04,25658.1387,25658.2695,25450.3809,25581.6992,965123219,0
2025-12-05,25657.7812,25827.0781,25617.3535,25692.0508,1317879469,0
2025-12-08,25758.8184,25828.1582,25531.75,25627.9512,1132700249,0
2025-12-09,25593.666,25698.2617,25532.3379,25668.6875,956358977,0
2025-12-10,25631.5879,25835.0254,25504.3027,25776.4375,1257197397,0
2025-12-11,25598.3887,25696.291,25372.1797,25686.6855,934924312,0
2025-12-12,25531.5527,25605.875,25104.6797,25196.7344,1068772435,0
2025-12-15,25352.8691,25377.623,25022.8066,25067.2656,1004771051,0
2025-12-16,24991.4941,25188.7637,24922.9355,25132.9395,973550914,0
2025-12-17,25167.8613,25193.4102,24647.6055,24647.6055,1397986335,0
2025-12-18,25031.4941,25164.1777,24921.4512,25019.3672,1306992506,0
2025-12-19,25147.2949,25354.8203,25134.2559,25346.1777,1245692009,0
2025-12-22,25527.6836,25554.0293,25401.5918,25461.7012,963075207,0
2025-12-23,25441.4238,25590.0332,25403.2617,25587.8301,854053387,0
2025-12-24,25582.3398,25665.2773,25556.8516,25656.1465,406570122,0
2025-12-26,25692.6836,25716.7129,25620.3164,25644.3906,599802506,0
2025-12-29,25462.2539,25598.1406,25440.9727,25525.5605,725037397,0
2025-12-30,25509.877,25577.5801,25456.9238,25462.5605,677177023,0
